like_id,user_id,cafe_id,Kpopers,JapanLovers,AnimalLovers,Quite,MusicLovers,BookLovers,ArtLovers,ViewsLovers,CoffeeLovers,NonCoffeeLovers,groupsComer,outdoor,Indoor,RetroVintage,MinimalisCafe,IndustrialCafe,ModernCafe,ArtCafe,PetCafe,BooksCafe,24HoursCafe,MeetingCafe,StudyCafe,goodViews,FamilyCafe,CountryFood,Smoking,NonSmoking,Coffee,NonCoffee,GardenCafe,vote
1,478,ChIJ0aVF46v2aS4Rnh8lZ3d5tUQ,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1
2,775,ChIJLxBcNEz1aS4Rz-ylGMhisWI,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,231,ChIJAQAAADvxaS4RYy8Y43ojJmg,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
4,447,ChIJ5264kWf1aS4R9ED7F-k4SFI,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
5,435,ChIJPyAcAqj2aS4RvmUSW1Spylw,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
6,84,ChIJG3_xiybyaS4RQ1Dv5Vaq2uI,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1
7,250,ChIJnauaQJP1aS4RDsAu9OYNn-c,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
8,912,ChIJP_KCL7_xaS4RK-0fDLYtghU,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
9,151,ChIJPyAcAqj2aS4RvmUSW1Spylw,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
10,493,ChIJgfpdJw71aS4Rf9HLMDr7GQ8,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
11,776,ChIJgfpdJw71aS4Rf9HLMDr7GQ8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
12,666,ChIJNVc1Tnj2aS4RJjDPK_m5LPc,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1
13,91,ChIJ1_Zg-yPzaS4RIwjcrpDXCxA,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
14,926,ChIJp8qLSgD0aS4RgRrAqtNTu7I,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
15,283,ChIJW_4bsXP0aS4RdvVxk8IA3vc,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1
16,566,ChIJlX0F7przaS4RiylbKJgpq-o,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
17,868,ChIJGQ1hkdX1aS4Rq1rdFefMN38,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
18,929,ChIJ-WUWgGbxaS4RpyA6ZgEyvSQ,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
19,824,ChIJrxQ45X7xaS4RHH5b8A1WCqQ,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1
20,767,ChIJ_2OANZjxaS4RFaJTQ2w8njs,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1
21,295,ChIJBXQMVOzzaS4RVYIMC8ymGqk,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0
22,470,ChIJy7e0JS_0aS4R95MRrols1bk,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
23,523,ChIJJ0U1TiD0aS4RS43bPQZK6Dw,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1
24,884,ChIJG3_xiybyaS4RQ1Dv5Vaq2uI,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
25,60,ChIJVyllMOL1aS4R5fVisPHnq-M,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
26,353,ChIJ4Umhf13xaS4RyFgMEN82SGw,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
