cafe_id,cafe_name,address,feature
ChIJLSH8Jz_0aS4R_fiIMX4JkO8,Bakoel Koffie Cikini,"Bakoel Koffie Cikini, Jl. Cikini Raya No.25, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330","outdoor, indoor, vintage, art cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJtX1aSBT0aS4RYeoXrSXRWCY,Anomali Coffee Menteng,"Anomali Coffee Menteng, Jl. Teuku Cik Ditiro No.52, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","outdoor, indoor, minimalis cafe, modern cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJ9UFwzvbzaS4R91dtdzt6_U8,Lucky Cat Coffee & Kitchen,"Lucky Cat Coffee & Kitchen, Parkir Selatan Plaza Festival, Jl. H. R. Rasuna Said No.C22, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940","outdoor, indoor, minimalis cafe, 24 hours cafe, meeting cafe, study cafe, family cafe, smoking, coffee, noncoffee, gardencafe"
ChIJUbFWB1vxaS4Rz4bnXgpxEoc,Anomali Coffee,"Anomali Coffee, Jl. Senopati No.19, RT.6/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","outdoor, indoor, industrial cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJZ3frHBX0aS4Rb3PvKlxkrHk,Giyanti Coffee Roastery,"Giyanti Coffee Roastery, Jl. Surabaya No.20, RT.15/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310","outdoor, indoor, minimalis cafe, art cafe, meeting cafe, study cafe, smoking, nonsmoking, coffee,"
ChIJmS8JUrT2aS4R99BZY-87klI,The Cafe,"The Cafe, Senayan, Jl. Asia Afrika, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","indoor, modern cafe, art cafe, meeting cafe, family cafe, country food, nonsmoking, coffee, noncoffee"
ChIJ6SEPNDz3aS4R4vV0JZXzhx8,Arborea Cafe,"Arborea Cafe, Manggala Wanabakti complex, Jl. Gatot Subroto No.1, RT.1/RW.3, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270","outdoor, indoor, good views, family cafe, nonsmoking, coffee, noncoffee, gardencafe"
ChIJv-3vXEDxaS4R0nmvTmJc5WA,Walking Drums,"Walking Drums, Jl. Pati Unus No.4, RT.4/RW.4, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120","outdoor, indoor, modern cafe, meeting cafe, study cafe, good views, family cafe, smoking, nonsmoking, coffee, noncoffee"
ChIJP_KCL7_xaS4RK-0fDLYtghU,Shisha Cafe Kemang,"Shisha Cafe Kemang, Jl. Kemang Raya No.10, RT.9/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730","outdoor, indoor, art cafe, country food, smoking, coffee, noncoffee"
ChIJq6ca0EjxaS4RfRbksOau540,Monolog Coffee Company Plaza Senayan,"Monolog Coffee Company Plaza Senayan, Plaza Senayan Mall, Palm Gate Entrance, Jl. Asia Afrika No.8, Gelora, Daerah Khusus Ibukota Jakarta 10270","indoor, minimalis cafe, study cafe, nonsmoking, coffee, noncoffee"
